City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
350,ceres,37.5949,-120.9577,27.18,48,0,4.12,US,1689748624
351,port augusta,-32.5,137.7667,17.66,37,5,7.09,AU,1689748625
352,mpika,-11.8343,31.4529,18.4,46,79,4.18,ZM,1689748625
353,prince george,53.9166,-122.753,18.68,63,100,1.54,CA,1689748509
354,puerto maldonado,-12.6,-69.1833,23.02,67,100,2.11,PE,1689748625
355,aioun,16.6614,-9.6149,30.93,51,28,5.05,MR,1689748625
356,boyolangu,-8.1181,111.8935,26.91,64,21,6.7,ID,1689748625
357,praia da vitoria,38.7333,-27.0667,18.75,88,40,0.78,PT,1689748626
358,trairi,-3.2778,-39.2689,24.31,84,64,4.69,BR,1689748626
359,roswell,34.0232,-84.3616,25.31,76,0,3.6,US,1689748585
360,lido di ostia,41.7321,12.2765,30.8,61,0,4.12,IT,1689748626
361,gore,-46.1028,168.9436,7.01,97,100,0.07,NZ,1689748626
